,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
0,1,2439.6442778110504,414.21365678310394,42.832,51.6,"{'plane': 45.04, 'car': 57.099999999999994, 'bird': 24.16, 'cat': 26.700000000000003, 'deer': 32.26, 'dog': 39.72, 'frog': 49.1, 'horse': 46.36, 'ship': 57.42, 'truck': 50.46000000000001}","{'plane': 57.4, 'car': 67.60000000000001, 'bird': 28.9, 'cat': 43.7, 'deer': 33.4, 'dog': 43.7, 'frog': 63.9, 'horse': 56.89999999999999, 'ship': 65.3, 'truck': 55.2}"
1,2,1867.378408253193,353.402411878109,57.034,59.39,"{'plane': 59.58, 'car': 70.96000000000001, 'bird': 39.019999999999996, 'cat': 39.900000000000006, 'deer': 43.08, 'dog': 49.78, 'frog': 67.62, 'horse': 63.44, 'ship': 71.3, 'truck': 65.66}","{'plane': 65.8, 'car': 79.0, 'bird': 38.5, 'cat': 46.800000000000004, 'deer': 35.4, 'dog': 49.5, 'frog': 71.6, 'horse': 70.19999999999999, 'ship': 70.8, 'truck': 66.3}"
2,3,1520.7071127593517,317.65883654356,65.45400000000001,63.77,"{'plane': 68.47999999999999, 'car': 79.88, 'bird': 50.760000000000005, 'cat': 45.4, 'deer': 55.42, 'dog': 56.08, 'frog': 73.3, 'horse': 70.22, 'ship': 78.02, 'truck': 76.98}","{'plane': 59.9, 'car': 83.3, 'bird': 53.1, 'cat': 45.300000000000004, 'deer': 59.099999999999994, 'dog': 41.8, 'frog': 74.5, 'horse': 69.69999999999999, 'ship': 77.9, 'truck': 73.1}"
3,4,1249.2273688316345,292.9925474226475,71.836,67.05,"{'plane': 74.56, 'car': 84.61999999999999, 'bird': 60.5, 'cat': 52.38, 'deer': 64.46, 'dog': 61.160000000000004, 'frog': 78.94, 'horse': 75.58, 'ship': 83.86, 'truck': 82.3}","{'plane': 71.6, 'car': 84.1, 'bird': 55.7, 'cat': 54.900000000000006, 'deer': 62.9, 'dog': 43.9, 'frog': 71.39999999999999, 'horse': 74.4, 'ship': 82.69999999999999, 'truck': 68.89999999999999}"
4,5,994.4198659360409,285.1603094339371,77.754,68.47999999999999,"{'plane': 80.02, 'car': 89.18, 'bird': 69.6, 'cat': 59.56, 'deer': 71.84, 'dog': 67.82000000000001, 'frog': 82.66, 'horse': 81.64, 'ship': 88.02, 'truck': 87.2}","{'plane': 72.8, 'car': 82.8, 'bird': 49.8, 'cat': 60.8, 'deer': 57.8, 'dog': 52.7, 'frog': 75.9, 'horse': 70.7, 'ship': 79.4, 'truck': 82.1}"
5,6,749.9119176417589,293.7699680030346,83.454,68.4,"{'plane': 85.28, 'car': 92.78, 'bird': 76.22, 'cat': 69.42, 'deer': 79.52, 'dog': 75.5, 'frog': 86.6, 'horse': 86.3, 'ship': 91.16, 'truck': 91.75999999999999}","{'plane': 73.7, 'car': 79.4, 'bird': 68.5, 'cat': 53.400000000000006, 'deer': 57.49999999999999, 'dog': 48.5, 'frog': 73.5, 'horse': 71.0, 'ship': 80.30000000000001, 'truck': 78.2}"
6,7,522.3485179543495,315.55759689211845,88.472,69.56,"{'plane': 90.18, 'car': 95.04, 'bird': 83.72, 'cat': 77.88000000000001, 'deer': 85.74000000000001, 'dog': 83.02000000000001, 'frog': 90.86, 'horse': 90.86, 'ship': 93.7, 'truck': 93.72}","{'plane': 71.3, 'car': 83.3, 'bird': 53.6, 'cat': 49.3, 'deer': 63.2, 'dog': 64.2, 'frog': 76.6, 'horse': 73.2, 'ship': 84.2, 'truck': 76.7}"
7,8,348.8719011414796,343.55527940392494,92.396,68.96,"{'plane': 93.28, 'car': 96.24000000000001, 'bird': 89.52, 'cat': 85.86, 'deer': 91.53999999999999, 'dog': 88.62, 'frog': 93.46, 'horse': 94.24, 'ship': 95.67999999999999, 'truck': 95.52000000000001}","{'plane': 71.1, 'car': 83.1, 'bird': 58.099999999999994, 'cat': 40.0, 'deer': 71.0, 'dog': 60.9, 'frog': 73.4, 'horse': 73.4, 'ship': 79.7, 'truck': 78.9}"
8,9,254.66623208485544,344.7693617939949,94.562,69.75,"{'plane': 94.76, 'car': 97.16, 'bird': 92.88, 'cat': 90.4, 'deer': 94.02000000000001, 'dog': 92.28, 'frog': 95.66, 'horse': 95.66, 'ship': 96.38, 'truck': 96.41999999999999}","{'plane': 72.2, 'car': 83.8, 'bird': 55.300000000000004, 'cat': 52.800000000000004, 'deer': 65.8, 'dog': 53.2, 'frog': 75.5, 'horse': 75.4, 'ship': 81.89999999999999, 'truck': 81.6}"
9,10,174.41917975060642,364.7941101491451,96.282,70.35,"{'plane': 96.24000000000001, 'car': 97.98, 'bird': 94.84, 'cat': 93.54, 'deer': 95.64, 'dog': 95.0, 'frog': 97.06, 'horse': 97.11999999999999, 'ship': 97.86, 'truck': 97.54}","{'plane': 74.1, 'car': 86.0, 'bird': 58.599999999999994, 'cat': 50.3, 'deer': 62.8, 'dog': 57.699999999999996, 'frog': 81.2, 'horse': 72.6, 'ship': 82.5, 'truck': 77.7}"
