,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
0,1,2471.363452076912,404.797300696373,42.403999999999996,52.96999999999999,"{'plane': 46.7, 'car': 54.50000000000001, 'bird': 26.36, 'cat': 28.78, 'deer': 30.84, 'dog': 37.580000000000005, 'frog': 49.059999999999995, 'horse': 49.64, 'ship': 51.88, 'truck': 48.699999999999996}","{'plane': 55.1, 'car': 74.5, 'bird': 31.5, 'cat': 38.3, 'deer': 30.7, 'dog': 44.0, 'frog': 72.39999999999999, 'horse': 68.4, 'ship': 61.9, 'truck': 52.900000000000006}"
1,2,1773.6698532104492,331.0375662446022,59.628,62.519999999999996,"{'plane': 62.760000000000005, 'car': 72.96000000000001, 'bird': 46.52, 'cat': 41.4, 'deer': 47.86, 'dog': 51.1, 'frog': 68.89999999999999, 'horse': 66.34, 'ship': 71.86, 'truck': 66.58}","{'plane': 67.30000000000001, 'car': 82.1, 'bird': 54.1, 'cat': 41.5, 'deer': 39.5, 'dog': 54.300000000000004, 'frog': 81.8, 'horse': 65.5, 'ship': 78.2, 'truck': 60.9}"
2,3,1363.7912538945675,295.2868641912937,69.266,67.22,"{'plane': 72.72, 'car': 81.54, 'bird': 57.879999999999995, 'cat': 49.74, 'deer': 61.94, 'dog': 59.08, 'frog': 76.84, 'horse': 74.56, 'ship': 81.08, 'truck': 77.28}","{'plane': 66.4, 'car': 82.8, 'bird': 62.9, 'cat': 41.699999999999996, 'deer': 64.9, 'dog': 55.400000000000006, 'frog': 72.6, 'horse': 74.9, 'ship': 78.9, 'truck': 71.7}"
3,4,1031.5253585129976,275.5983010828495,76.854,69.8,"{'plane': 79.02, 'car': 87.42, 'bird': 68.14, 'cat': 60.34, 'deer': 71.7, 'dog': 67.42, 'frog': 82.38, 'horse': 80.66, 'ship': 86.82, 'truck': 84.64}","{'plane': 76.8, 'car': 73.4, 'bird': 50.6, 'cat': 56.89999999999999, 'deer': 67.4, 'dog': 55.400000000000006, 'frog': 78.5, 'horse': 71.6, 'ship': 84.3, 'truck': 83.1}"
4,5,750.3650308996439,293.2332230210304,83.27799999999999,70.03,"{'plane': 85.02, 'car': 91.52, 'bird': 76.22, 'cat': 70.67999999999999, 'deer': 79.9, 'dog': 75.08, 'frog': 87.4, 'horse': 87.03999999999999, 'ship': 90.66, 'truck': 89.25999999999999}","{'plane': 70.7, 'car': 85.1, 'bird': 56.2, 'cat': 53.7, 'deer': 71.8, 'dog': 53.7, 'frog': 79.0, 'horse': 67.80000000000001, 'ship': 82.39999999999999, 'truck': 79.9}"
5,6,516.5690226070583,308.80795055627823,88.626,69.52000000000001,"{'plane': 90.06, 'car': 94.26, 'bird': 84.34, 'cat': 79.28, 'deer': 86.61999999999999, 'dog': 83.14, 'frog': 91.10000000000001, 'horse': 90.84, 'ship': 93.34, 'truck': 93.28}","{'plane': 79.4, 'car': 85.5, 'bird': 52.0, 'cat': 51.6, 'deer': 66.4, 'dog': 61.5, 'frog': 72.5, 'horse': 71.1, 'ship': 77.5, 'truck': 77.7}"
6,7,347.0523063633591,332.797218054533,92.456,70.08,"{'plane': 93.28, 'car': 95.82000000000001, 'bird': 89.92, 'cat': 87.22, 'deer': 90.86, 'dog': 88.96, 'frog': 93.74, 'horse': 94.32000000000001, 'ship': 95.26, 'truck': 95.17999999999999}","{'plane': 74.1, 'car': 85.0, 'bird': 52.5, 'cat': 58.599999999999994, 'deer': 63.3, 'dog': 63.9, 'frog': 74.5, 'horse': 68.7, 'ship': 82.5, 'truck': 77.7}"
7,8,254.5638565896079,338.4157654941082,94.294,71.07,"{'plane': 94.58, 'car': 96.78, 'bird': 92.14, 'cat': 90.58, 'deer': 93.38, 'dog': 91.88, 'frog': 95.39999999999999, 'horse': 95.54, 'ship': 96.39999999999999, 'truck': 96.26}","{'plane': 77.10000000000001, 'car': 86.7, 'bird': 61.4, 'cat': 44.5, 'deer': 65.2, 'dog': 62.6, 'frog': 75.1, 'horse': 77.60000000000001, 'ship': 83.5, 'truck': 77.0}"
8,9,190.68453424749896,365.0249957740307,95.812,71.50999999999999,"{'plane': 96.32, 'car': 97.58, 'bird': 94.38, 'cat': 92.66, 'deer': 95.24000000000001, 'dog': 93.94, 'frog': 96.34, 'horse': 97.06, 'ship': 97.48, 'truck': 97.11999999999999}","{'plane': 72.39999999999999, 'car': 81.39999999999999, 'bird': 65.2, 'cat': 39.300000000000004, 'deer': 59.599999999999994, 'dog': 68.60000000000001, 'frog': 84.0, 'horse': 78.3, 'ship': 82.6, 'truck': 83.7}"
9,10,134.99370905500837,374.53703060746193,97.062,71.08,"{'plane': 97.39999999999999, 'car': 98.22, 'bird': 95.88, 'cat': 95.1, 'deer': 96.74000000000001, 'dog': 96.02000000000001, 'frog': 97.6, 'horse': 97.5, 'ship': 97.96000000000001, 'truck': 98.2}","{'plane': 72.2, 'car': 83.0, 'bird': 68.5, 'cat': 52.1, 'deer': 60.199999999999996, 'dog': 47.5, 'frog': 77.9, 'horse': 78.3, 'ship': 88.4, 'truck': 82.69999999999999}"
