Player,No. of Matches,Runs Scored,Batting Average,Wickets Taken,Bowling Average,Player Role,Player Class
Jack Wildermuth,36,1664,28.2,85,30.17,Allrounder,0
Akila Dananjaya,45,971,24.27,147,27.54,Allrounder,0
Sanjaya Gangodawila,53,2223,28.87,12,28.25,Allrounder,0
Janeiro Tucker,8,336,28,5,45.6,Allrounder,0
Aruna Priyantha,134,4574,21.37,206,24.36,Allrounder,0
Ravindra Karunaratne,24,735,25.34,37,30.97,Allrounder,0
Shivam Dube,9,710,50.71,28,22.57,Allrounder,0
Ian Harvey,165,8409,34.6,425,27.51,Allrounder,0
Abuthahir Rizan,80,2256,19.44,175,24.69,Allrounder,0
Sajith Fernando,193,10700,38.62,269,23.78,Allrounder,0
Arosh Janoda,52,1097,18.59,103,24.77,Allrounder,0
Sachithra Serasinghe,129,8282,46.79,258,29.29,Allrounder,0
Rasika Priyadarshana,137,5484,27.42,327,26.11,Allrounder,0
Fayyaz Ahmed,6,141,12.81,20,31.45,Allrounder,0
Prenelan Subrayen,42,918,19.12,88,33.45,Allrounder,0
Andrew Symonds,227,14477,42.2,242,36,Allrounder,0
Hilton Cartwright,51,2720,34.87,42,35.88,Allrounder,0
Orlando Peters,31,937,15.61,20,33.4,Allrounder,0
Mohammad Hafeez,210,12169,34.76,253,26.73,Allrounder,0
Thomas Kaber,42,1589,38.75,119,29.07,Allrounder,0
Roston Chase,76,4230,39.53,125,32.08,Allrounder,0
Vijay Shankar,41,2099,47.7,32,50.93,Allrounder,0
Ernest Kemm,45,2643,35.71,23,43.6,Allrounder,0
Nuwan Shiroman,127,4949,24.37,56,28.76,Allrounder,0
Angelo Mathews,118,8328,47.86,63,46.46,Allrounder,0
Stiaan van Zyl,162,10201,43.96,68,37.27,Allrounder,0
Kevin O'Brien,43,2007,38.59,44,28.68,Allrounder,0
David Lloyd,407,19269,33.33,237,30.26,Allrounder,0
Farveez Maharoof,111,3755,25.71,182,32.25,Allrounder,0
Habibur Rahman,10,260,15.29,4,46,Allrounder,0
Dwayne Bravo,100,5302,30.64,177,33.43,Allrounder,0
Naeem Ashraf,86,3009,26.16,289,24.12,Allrounder,0
Daniel Christian,83,3783,30.5,163,34.84,Allrounder,0
Mahuru Dai,7,374,28.76,17,37.11,Allrounder,0
Freddie Brown,335,13325,27.36,1221,26.21,Allrounder,0
Chandana Pushpalal,17,225,12.5,24,39.16,Allrounder,0
Samit Patel,212,11976,36.62,322,39,Allrounder,0
Ashan Priyanjan,123,6722,37.76,100,30.48,Allrounder,0
Raymon Reifer,68,2613,26.39,155,24.34,Allrounder,0
Malachi Jones,5,95,10.55,11,42,Allrounder,0
Tajinder Singh,11,515,32.18,11,51.63,Allrounder,0
C Raghu,31,1324,31.52,29,35.96,Allrounder,0
Malinda Abeyratne,28,922,19.61,2,31.5,Allrounder,0
Lalit Yadav,7,375,53.57,6,74.66,Allrounder,0
Sam Curran,51,1952,28.7,133,30.03,Allrounder,0
Gareth Dukes,35,1038,20.76,77,27.92,Allrounder,0
Suwanji Madanayake,130,3378,19.63,364,21.42,Allrounder,0
Mahesh Kodamullage,7,92,7.66,12,42.83,Allrounder,0
Chathura Athukorala,34,561,20.03,100,21.08,Allrounder,0
Shreyas Gopal,56,2431,35.75,184,26.19,Allrounder,0
Saminda Gallage,6,124,15.5,8,21.25,Allrounder,0
Roland Lefebvre,77,1494,20.46,149,36.23,Allrounder,0
Dinesh Manjula de Silva,49,967,20.57,100,27.96,Allrounder,0
Andre Russell,17,609,26.47,54,20.44,Allrounder,0
Chaka Hodge,13,269,13.45,33,38.72,Allrounder,0
Paul Stirling,66,2746,27.46,25,43.56,Allrounder,0
Tim Bresnan,194,6456,28.95,546,30.82,Allrounder,0
Damodar Daesrath,19,644,26.83,27,24.03,Allrounder,0
Duncan Arnolda,110,3164,22.6,149,26.22,Allrounder,0
Charlie MacDonell,8,347,49.57,2,195.5,Allrounder,0
Chandra Kumara,49,1231,19.53,87,23.89,Allrounder,0
Malinga Amarasinghe,12,545,30.27,3,69.33,Allrounder,0
Nkrumah Bonner,62,2798,24.76,42,31.04,Allrounder,0
Keith Parsons,130,5324,28.62,106,43.83,Allrounder,0
